o_iti_it bp fp     mu             rho                  LogCost              OptError             Error Reg   Step  Upt
   1   0  0 11 1.0000          1.0000                  -3.3736             4611.3582        31211.5960   0 0.0010    0
 130  71  0  0 0.0400        100.0000                 337.0140              175.3302            0.0001   1 0.0078  127
 131  72  0  0 0.0400        100.0000                 336.7970              173.9605            0.0001   1 0.0039  128
 132  73  0  0 0.0400        100.0000                 336.5812              173.2809            0.0001   1 0.0039  129
 133  74  0  0 0.0400        100.0000                 336.1517              172.6040            0.0001   1 0.0078  130
 134  75  0  0 0.0400        100.0000                 335.9393              171.2556            0.0001   1 0.0039  131
 135  76  0  0 0.0400        100.0000                 335.5165              170.5866            0.0001   1 0.0078  132
 136  77  0  0 0.0400        100.0000                 335.3073              169.2539            0.0001   1 0.0039  133
 137  78  0  0 0.0400        100.0000                 334.8910              168.5928            0.0001   1 0.0078  134
 138  79  0  0 0.0400        100.0000                 334.6850              167.2756            0.0001   1 0.0039  135
 139  80  0  0 0.0400        100.0000                 334.2749              166.6222            0.0001   1 0.0078  136
 140  81  0  0 0.0400        100.0000                 333.8688              165.3205            0.0001   1 0.0078  137
 141  82  0  0 0.0400        100.0000                 333.6678              164.0289            0.0001   1 0.0039  138
 142  83  0  0 0.0400        100.0000                 333.2677              163.3882            0.0001   1 0.0078  139
 143  84  0  0 0.0400        100.0000                 332.8714              162.1117            0.0001   1 0.0078  140
 144  85  0  0 0.0400        100.0000                 332.6751              160.8452            0.0001   1 0.0039  141
 145  86  0  0 0.0400        100.0000                 332.2844              160.2169            0.0001   1 0.0078  142
 146  87  0  0 0.0400        100.0000                 331.8973              158.9652            0.0001   1 0.0078  143
 147  88  0  0 0.0400        100.0000                 331.5137              157.7233            0.0001   1 0.0078  144
 148  89  0  0 0.0400        100.0000                 331.3237              156.4911            0.0001   1 0.0039  145
 149  90  0  0 0.0400        100.0000                 330.9453              155.8798            0.0001   1 0.0078  146
 150  91  0  0 0.0400        100.0000                 330.5703              154.6620            0.0001   1 0.0078  147
 151  92  0  0 0.0400        100.0000                 330.1986              153.4537            0.0001   1 0.0078  148
 152  93  0  0 0.0400        100.0000                 329.8302              152.2548            0.0001   1 0.0078  149
 153  94  0  0 0.0400        100.0000                 329.4649              151.0653            0.0001   1 0.0078  150
 154  95  0  0 0.0400        100.0000                 329.1027              149.8851            0.0001   1 0.0078  151
 155  96  0  0 0.0400        100.0000                 328.7436              148.7141            0.0001   1 0.0078  152
 156  97  0  0 0.0400        100.0000                 328.3875              147.5523            0.0001   1 0.0078  153
 157  98  0  0 0.0400        100.0000                 328.0344              146.3996            0.0001   1 0.0078  154
 158  99  0  0 0.0400        100.0000                 327.6841              145.2558            0.0001   1 0.0078  155
 159 100  0  0 0.0400        100.0000                 327.3367              144.1210            0.0001   1 0.0078  156
 160   0  0  1 0.0080       1000.0000                3580.0838             2235.4402            0.0001   0 0.0010  156
 161   0  0  1 0.0080       1000.0000                3580.0838             2235.4402            0.0001   1 0.0010  156
 162   1  0  0 0.0080       1000.0000                3577.3833             2235.4402            0.0001   2 0.0039  157
 163   2  0  0 0.0080       1000.0000                3574.7524             2226.7080            0.0001   2 0.0039  158
 164   3  0  0 0.0080       1000.0000                3572.1856             2218.0099            0.0001   2 0.0039  159
 165   4  0  0 0.0080       1000.0000                3569.6775             2209.3458            0.0001   2 0.0039  160
 166   5  0  0 0.0080       1000.0000                3567.2234             2200.7156            0.0001   2 0.0039  161
 167   6  0  0 0.0080       1000.0000                3564.8190             2192.1190            0.0001   2 0.0039  162
 168   7  0  0 0.0080       1000.0000                3562.4602             2183.5561            0.0001   2 0.0039  163
 169   8  0  0 0.0080       1000.0000                3560.1435             2175.0265            0.0001   2 0.0039  164
 170   9  0  0 0.0080       1000.0000                3557.8656             2166.5303            0.0001   2 0.0039  165
 171  10  0  0 0.0080       1000.0000                3555.6237             2158.0673            0.0001   2 0.0039  166
 172  11  0  0 0.0080       1000.0000                3553.4149             2149.6374            0.0001   2 0.0039  167
 173  12  0  0 0.0080       1000.0000                3551.2369             2141.2404            0.0001   2 0.0039  168
 174  13  0  0 0.0080       1000.0000                3549.0875             2132.8761            0.0001   2 0.0039  169
 175  14  0  0 0.0080       1000.0000                3544.8390             2124.5446            0.0001   2 0.0078  170
 176  15  0  0 0.0080       1000.0000                3542.7651             2107.9466            0.0001   2 0.0039  171
 177  16  0  0 0.0080       1000.0000                3540.7129             2099.7124            0.0001   2 0.0039  172
 178  17  0  0 0.0080       1000.0000                3538.6810             2091.5104            0.0001   2 0.0039  173
 179  18  0  0 0.0080       1000.0000                3534.6536             2083.3405            0.0001   2 0.0078  174
 180  19  0  0 0.0080       1000.0000                3532.6767             2067.0644            0.0001   2 0.0039  175
 181  20  0  0 0.0080       1000.0000                3530.7161             2058.9899            0.0001   2 0.0039  176
 182  21  0  0 0.0080       1000.0000                3528.7709             2050.9470            0.0001   2 0.0039  177
 183  22  0  0 0.0080       1000.0000                3524.9081             2042.9355            0.0001   2 0.0078  178
 184  23  0  0 0.0080       1000.0000                3523.0053             2026.9750            0.0001   2 0.0039  179
 185  24  0  0 0.0080       1000.0000                3521.1154             2019.0571            0.0001   2 0.0039  180
 186  25  0  0 0.0080       1000.0000                3517.3587             2011.1702            0.0001   2 0.0078  181
 187  26  0  0 0.0080       1000.0000                3515.5047             1995.4579            0.0001   2 0.0039  182
 188  27  0  0 0.0080       1000.0000                3513.6616             1987.6632            0.0001   2 0.0039  183
 189  28  0  0 0.0080       1000.0000                3509.9957             1979.8989            0.0001   2 0.0078  184
 190  29  0  0 0.0080       1000.0000                3508.1839             1964.4309            0.0001   2 0.0039  185
 191  30  0  0 0.0080       1000.0000                3504.5786             1956.7574            0.0001   2 0.0078  186
 192  31  0  0 0.0080       1000.0000                3502.7954             1941.4702            0.0001   2 0.0039  187
 193  32  0  0 0.0080       1000.0000                3499.2459             1933.8863            0.0001   2 0.0078  188
 194  33  0  0 0.0080       1000.0000                3497.4892             1918.7778            0.0001   2 0.0039  189
 195  34  0  0 0.0080       1000.0000                3493.9916             1911.2826            0.0001   2 0.0078  190
 196  35  0  0 0.0080       1000.0000                3492.2596             1896.3507            0.0001   2 0.0039  191
 197  36  0  0 0.0080       1000.0000                3488.8106             1888.9431            0.0001   2 0.0078  192
 198  37  0  0 0.0080       1000.0000                3485.3924             1874.1857            0.0001   2 0.0078  193
 199  38  0  0 0.0080       1000.0000                3483.6986             1859.5436            0.0001   2 0.0039  194
 200  39  0  0 0.0080       1000.0000                3480.3247             1852.2798            0.0001   2 0.0078  195
 201  40  0  0 0.0080       1000.0000                3476.9790             1837.8089            0.0001   2 0.0078  196
 202  41  0  0 0.0080       1000.0000                3473.6608             1823.4510            0.0001   2 0.0078  197
 203  42  0  0 0.0080       1000.0000                3470.3692             1809.2053            0.0001   2 0.0078  198
